Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
QuickAndSteady,1500,0,18200,9700,0,35500,4300,28500,25000,11200,13400,5600,6000,0,0,0,10800,27400,1900,0,0,4600,0,10600,0,0,13600,2400,31200,0,3100,0,53900,28100,3200,25500,8600
invictus_123,53200,57000,33400,150000,46800,656100,117800,384900,305000,198200,478400,364300,200800,4000,4300,3700,280100,573000,11300,3000,19200,201700,62500,111000,26700,11200,332900,20900,501100,81300,30700,201000,859700,579200,111600,765900,190400
Alx,42500,88100,44500,119900,4500,550500,25100,341300,284000,145000,230300,247100,127000,1600,3900,1700,243500,487900,7400,3000,10500,136500,3100,63300,19500,25700,271800,28900,442500,7700,40500,11500,827000,441900,78500,632100,140400
Coxie,62400,81200,42500,139000,6700,504000,65500,415300,290300,201400,339900,258500,202000,0,25800,0,173500,521700,11300,3200,16500,147000,3200,83200,34500,11000,325500,43900,434700,18600,27800,19200,815700,517300,77800,711700,174900
Gaurav_Dawra,23400,25000,16000,60800,19400,273100,45900,215800,110800,95400,144000,103700,80600,0,4500,1700,106200,244400,5400,2000,1600,94700,0,26300,9400,3300,160900,9200,190700,9400,19100,10200,408000,243600,38200,342800,94700
_merlin_,24200,18300,35200,93100,11700,339500,34900,344200,200300,152700,141200,126300,70600,4000,2000,1700,79600,440000,5400,3000,6900,133600,3600,42600,12900,9200,243400,10700,233700,10500,33000,9600,651600,375000,40900,525600,141000
congthanh123,42900,37600,34900,103100,20400,356300,43400,310500,233500,158100,202000,146300,95900,0,9800,0,103500,510400,1500,3600,16800,146400,13500,43900,12000,4000,234400,8600,284400,3600,29300,17300,659400,337100,70900,536400,139900
raynor30,47500,19000,7900,69000,9700,340200,30600,450300,215500,162800,121800,129700,79000,3500,0,900,69700,1050100,3400,1000,5300,226300,2900,25400,10600,24200,324400,11500,219200,7000,43400,3600,824900,362500,35900,749300,120000
anhkha1004,19000,13500,29200,69400,6900,241000,22400,265900,127200,141200,93400,85500,72500,0,4200,0,49000,331800,5400,4200,10100,78300,4200,29700,10000,11500,164400,3800,181100,3700,30300,7800,485300,282200,24900,479200,87700
Fireball0424,27000,19800,4200,32700,18800,280700,18500,180100,105400,81600,100100,114300,60000,0,0,2000,74900,314700,3400,1000,1500,117500,3300,34000,11100,7300,146000,6900,197600,1100,20300,1800,384600,182300,36100,346900,75500
shivamsinghal1012,13900,9500,15200,36500,1500,153600,10300,175300,104700,84500,51800,48200,46500,1600,0,0,14400,288200,3400,1000,3600,85700,2900,7700,7500,800,119700,3800,94300,1100,16400,2900,367700,189900,14200,376500,66700
Owmicron,41500,34200,23700,99900,3200,347900,16500,376100,208800,131000,140000,139000,66200,5100,2600,0,63000,661000,7700,1000,6000,156100,7100,56500,14600,13100,251900,9400,257200,9500,28900,7200,700900,365100,39900,597400,121200
HimanshuG,51800,56800,46900,174500,16800,774200,63000,497200,373800,210300,319300,288200,151900,0,6400,0,182700,677900,13500,5200,7100,194800,7500,82900,26800,3700,375000,25600,508300,11400,55300,25400,1000800,529000,78100,773800,200600
Amay,24300,11200,14100,39800,5100,227200,23900,240100,151500,129600,99200,94500,92000,0,0,1700,49200,402000,1900,1800,5400,86500,1500,29700,12000,1000,152100,4700,137400,4600,20600,7200,448300,217500,28100,444000,87200
Hardik_Agr,27800,6600,16000,56900,5500,248000,22700,275700,126000,102500,85400,84500,82900,2300,2000,0,43300,470300,5400,5200,4900,90800,0,31000,7600,2300,168700,9200,143100,1900,28200,2000,437500,257300,25700,385100,96100
Giun_Giun_10_Tin,0,2600,1600,9600,0,74300,0,23000,26500,15500,11300,14700,14200,0,0,2000,10300,37200,0,0,1900,5500,0,7200,2200,0,24000,0,22300,2400,0,0,44300,7300,3200,44300,19800
Badont,46500,34600,33200,94400,1600,361700,11100,304100,224500,159800,168600,157600,98900,2100,2000,1700,142800,467300,3500,3000,9100,99500,3700,46800,16000,9300,234600,15100,313800,4700,39000,8800,603700,346800,53600,560200,126300
