Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
LeoPro,27700,38000,32100,96700,11800,333500,41300,279200,163800,160400,187500,189000,100400,0,7500,0,54900,355100,7900,3200,7300,74000,0,38200,15800,93200,200300,20800,252800,10900,27900,16400,458400,369800,53300,523700,94900
xsc,146800,113300,78500,235000,35500,1020200,106800,840400,517900,408600,492800,406900,263000,17100,41800,0,340400,1277800,11800,8400,30400,416600,20300,174500,32000,58500,510200,61800,858400,36500,85300,48900,1344500,693500,153500,1309500,304800
Biot_DucToan,38400,68700,31000,162900,21200,546000,57300,273400,271000,141700,276600,246900,139400,0,7000,0,214800,291200,5700,0,9900,114700,12900,72900,26200,2800,207400,7400,449000,11300,15100,10300,539200,279000,101500,409300,115300
apostoldaniel854,29200,36400,42100,83300,5900,314800,19300,256100,173700,110700,165500,125400,86000,0,2000,2000,104500,364900,5400,3000,9200,79900,0,40900,12100,17200,194200,17200,220000,22900,33600,14600,544000,321300,50000,462500,130400
JYJin,9500,5900,2600,15200,0,65200,5900,87000,33300,40500,24900,21500,16300,0,2000,1700,10100,144200,5400,2000,1500,39100,0,9900,3500,1900,62100,3600,36200,2600,8300,4600,184700,114000,8000,179500,13900
divyamsingal01,40100,15600,17800,67200,14200,236000,33900,226100,119200,132900,141500,105000,63400,1400,4100,0,65400,310500,3400,0,7700,97000,4600,34400,14000,5500,170200,14200,147900,3000,38900,3800,496900,283200,48300,454200,87700
feifeiko,1500,8400,7700,35600,0,50600,7100,25600,39900,14800,29000,40300,16100,0,8100,0,29500,32600,5400,2000,0,9000,0,10300,0,0,29400,0,69200,0,7400,2000,71000,67600,15300,59300,14300
tabae326,16400,16400,13300,39900,3200,207400,14800,203400,135600,107300,80700,68000,66300,0,6600,1700,47400,281900,3400,2100,1900,76900,5200,24500,9100,9000,143000,9000,160900,3300,20400,6100,395500,188600,23100,377300,79600
balakrishnan,92500,43700,49100,197400,21800,668600,55600,546700,337300,242000,230200,232400,208200,6600,10900,2600,180900,698700,11700,4100,17800,208500,20200,72200,24200,0,325900,92800,353600,7800,67200,15000,865200,476000,76400,860300,179700
chef_lsn,43300,33700,28000,73100,12600,424700,40300,266900,205600,141200,193800,188100,119200,2300,4400,0,100400,410700,10200,0,17500,104100,8100,63300,18600,2000,228800,40000,281000,11000,27400,3600,600200,328700,55300,491700,161200
XandAviao,0,0,0,0,0,4600,0,2800,1800,2800,1400,0,3000,0,0,0,0,0,1900,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,1900,0,6700,1800
BucketPotato,52300,77300,84100,170700,16300,607600,61500,464200,299300,266600,283100,263700,206300,2900,14500,0,214700,510400,9600,4700,28600,153300,9100,76800,21700,29200,275900,60000,466100,19600,37300,26100,742400,490000,96600,749200,179900
abc864197532,128600,175700,101500,325400,53800,1128500,90100,764100,536000,385700,556100,486100,326500,3300,41700,0,408300,1052900,15200,5200,86600,343200,25900,139000,50100,89600,549700,118700,939600,37200,87500,68200,1409400,781300,211700,1329200,308100
SingerCoder,10200,18800,30400,44800,7100,172800,20100,120100,101400,55500,79300,75000,43100,0,2000,0,51600,176900,5400,2000,2200,55600,0,21000,7100,3000,121700,17600,166400,21400,21000,9600,284400,193100,20000,215400,88700
askd,41700,39800,77000,116900,19200,368800,26600,283400,217000,136000,259000,176500,128300,0,9300,0,130600,354200,9300,4600,14600,105600,6600,76200,15800,4800,220200,35700,326900,13600,38300,10300,572000,440200,72000,492100,123300
Texas,4100,26200,8900,22200,0,104800,2300,72700,52500,41900,36600,34100,26600,0,16800,0,57000,84300,10600,2000,2600,27100,0,11000,0,0,55900,0,77700,4900,10200,9700,148700,97600,18300,155000,22700
lulzz,10400,5300,7100,28500,6200,81700,10000,64100,63000,28100,48300,34400,25700,0,2000,0,24300,79900,3900,2000,1700,21900,0,14300,4800,0,64300,800,84900,0,8900,4200,153500,98500,10300,123900,43100
Prateek,68300,80900,128100,203900,36700,730700,94600,692200,463700,336100,416100,382300,196000,3800,15100,5700,264300,999200,5400,9700,12400,283700,6800,135000,49500,56700,495200,40700,632900,17700,50200,33200,1302800,763200,126900,1134700,301400
Emiso,88900,83100,63100,157500,30200,557600,78700,364000,277900,208500,339200,271600,130900,5100,29900,2000,189500,580400,6600,5500,35000,206800,4400,83300,20800,18900,286200,61300,470000,30700,51800,51200,645800,364200,105300,639000,151900
weasell,8900,5000,5800,32300,2400,120400,8800,97400,73500,53200,44000,47700,33400,0,0,1700,31600,130900,1900,0,5800,29800,0,13200,1400,0,74200,4400,64600,1100,11800,0,244700,151300,10900,208300,68900
Kakashi_Hatakee,2500,1200,0,0,0,6600,0,9900,9600,2800,1400,1200,3000,0,0,0,0,5700,1900,0,0,3000,0,0,0,0,8400,0,10100,0,0,0,8200,5800,0,15700,1800
Cyber_Wizard,48100,30200,40600,114100,20400,439900,45300,342100,231300,133300,209400,185600,100400,3200,3900,4000,124900,544500,3900,2000,13800,138300,10600,69400,17600,7900,210000,21300,318200,2600,23600,8900,585300,345800,61100,507100,131900
kjnh10,23600,26300,14900,53500,6000,245300,15700,224200,151200,94600,109000,95200,86300,1600,4200,0,65300,335700,6900,3000,5900,85800,1700,27700,8400,0,171500,4100,173900,2900,6100,8800,451900,233100,26200,388600,100800
ss_loves_AC,48300,50200,36500,137300,24500,498800,38300,376400,237400,244400,196700,141200,117600,3000,12100,1700,108100,587200,3400,3700,6000,166000,2800,48500,21600,7000,273500,11600,367400,10400,46500,9700,762900,370400,52500,761800,168000
uryuuu,51000,64300,54700,160700,19300,563600,63700,375600,293800,185800,273700,248200,136300,1600,6200,0,199700,564400,6500,5200,14900,160600,10000,71000,26900,5500,323700,32000,481900,17000,48900,24600,883800,494800,92500,707500,180700
assasin_,0,0,0,0,0,4600,0,2800,1800,2800,1400,0,3000,0,0,0,0,0,1900,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,1900,0,6700,1800
chinerist,29300,34800,28900,99500,4000,323700,29500,220900,171500,124400,138900,134900,107900,0,4900,0,89000,229100,5700,0,5800,72800,2400,33900,14400,0,200500,28600,246000,23200,26400,12200,452500,302100,38900,421200,127900
maester,9900,17400,12300,30300,1500,123500,6700,116400,78000,59800,50300,56900,42700,0,0,0,33600,163000,3400,0,7300,49200,0,14300,6900,8700,90100,2900,84500,5700,15300,0,217000,162200,14600,190700,52000
boook,153400,106000,43800,178000,78200,909600,108700,541100,411500,245800,478700,375700,204200,8100,49600,5200,337300,933100,18400,12300,52500,333900,30500,94500,26000,21100,390400,68400,831200,31100,51200,82800,859900,522800,137000,856900,198000
kiyoshi0205,55700,47100,58500,168900,14100,418200,50700,418400,258900,157300,274700,208100,136800,0,14400,0,141900,450900,6700,4200,10600,134400,14900,76800,17100,0,271000,26600,373000,14900,44600,22400,754400,529300,79900,640600,170000
dakshgarg,27100,15300,22700,46000,3300,214800,15900,228100,150800,99700,69100,67900,47800,0,2000,3400,46100,363700,7700,3000,1600,87500,2900,17800,18300,0,196400,2500,191100,7200,24900,9400,550200,298100,29300,449800,105500
lowking,6800,3500,11400,29900,2400,96300,5200,96300,51200,44400,35700,40700,20400,0,0,1700,24500,126800,1900,0,0,37300,0,18000,3500,3300,62000,1900,57900,3100,15900,0,203100,131100,18900,166600,43400
mohanraghug,25600,45300,34300,104100,5700,485200,38200,294300,185400,170300,269400,242000,141800,0,9600,4000,166500,371200,9300,5200,11000,109200,4000,67600,16500,14100,209800,33900,281800,11300,35900,28000,579000,302200,88900,520000,128900
pac-man21,36400,57800,68400,122700,15500,454600,42300,259900,201700,157800,250400,234200,145700,0,9800,2000,187100,300000,8000,9800,13000,109700,8500,75300,10400,0,172600,53300,325500,8500,34100,8300,460800,328900,54000,437900,83800
arjitkansal,40700,57900,27000,109300,12600,466000,39300,447400,320200,213700,242600,198100,139300,0,6500,5700,158700,750200,3400,1000,21200,192600,2900,72000,13300,13000,375000,11100,416500,7100,35100,8800,911500,421300,75000,741100,185900
Bekh,145200,106500,58700,219300,38600,818100,96600,737400,591400,346600,372100,384900,219800,4200,1900,4100,300600,1098200,22500,8200,52300,297900,7200,107300,35900,0,549500,98500,804700,12400,58500,48000,1152900,624400,123300,1223100,267300
forpracticeonly,11200,2200,1800,6300,0,75100,6700,54300,38300,22000,33700,52000,20700,0,2000,0,48900,132900,5800,4100,2800,39900,2100,10500,3700,1900,41800,8100,82600,800,2900,4000,99900,56700,14700,106000,13100
SumEat,7100,3200,0,1400,0,33600,0,42900,15700,16100,9100,14300,7400,0,2000,0,7500,43000,3900,2000,0,15700,0,3200,0,0,32800,800,11800,1800,5200,3800,63300,33000,3000,61900,10100
Atill83,27000,50300,36300,52000,5500,285700,24900,166200,174000,107500,124000,129200,87000,0,1900,2000,98900,299600,1900,1000,8400,90400,5100,41500,15600,16900,176500,30800,260900,2500,19400,6000,375600,192900,49000,360200,88400
kkktym,6600,11900,2200,22500,0,107700,4200,90200,71300,61800,47600,29500,44700,1600,0,0,16300,121900,3400,0,0,36300,1400,7100,5400,0,74800,4700,64300,3900,7600,1800,225300,92400,11000,193100,52600
spaceleo,14600,16000,13600,73000,2200,114100,11900,190100,128000,68900,100400,76300,29300,1600,2000,0,74800,252900,3900,3000,0,63800,1400,30700,4300,29900,128900,33200,173700,9700,10200,15800,304600,188800,30500,257600,66800
knandy,74800,41000,56500,110700,10300,474200,33000,386800,266500,158100,255700,214200,117900,0,7400,0,164200,598400,5700,3600,9000,139700,9600,76500,29900,4000,326100,27700,393600,20700,40900,7700,820300,447000,75300,668200,200400
bufftowel,28000,40600,26200,109900,17300,400700,43500,295500,240100,202600,219200,159100,97500,1600,4000,0,111700,472300,5900,5000,13400,143000,14200,70600,11700,5100,240000,15700,292700,4700,26200,9500,631300,322600,63500,556400,138400
abhi2402,21400,86300,46100,231600,22900,788800,66200,531500,402700,262400,347400,295900,162600,0,4000,1700,196000,691000,7400,5000,12200,194000,23000,94200,21500,1500,379200,33200,513800,19200,38700,28600,998000,553300,131400,868600,218500
egneeS,30000,54500,32300,116000,20400,422800,46100,299300,204100,146400,215000,183400,98200,1600,3900,0,114500,434500,17200,2000,9100,141100,6200,60600,15300,3800,233200,14200,311600,6600,22500,15600,625000,312900,98700,488900,146700
flyman3046,85300,46200,39200,157700,17300,585400,61600,572200,355400,256700,312300,302200,166300,3900,6200,2000,198500,991200,12200,7500,23800,237700,10700,90300,26600,10000,391300,51800,486700,14800,58500,16700,982900,537100,105200,937200,181500
HopeIsADangerousThing,1000,0,3900,7100,0,17000,2300,19100,10600,14200,8800,9200,8300,0,0,0,1800,19600,1900,0,0,5300,0,0,2200,0,13700,1900,9200,0,0,0,24300,14200,1700,32200,4800
jnarutoj,28000,34000,20300,56700,11900,300700,25100,184900,125500,91800,295600,241400,70200,1600,1900,1700,126300,330500,1900,1800,17900,90700,5100,80900,11600,2700,166800,5700,191800,13600,18200,19500,436300,214800,81100,326700,75200
Dragnoid99,36400,27500,55100,101800,27000,416400,45900,328400,260700,144700,244300,211700,115600,1600,9200,0,127800,408600,8100,5800,5800,123700,4100,68100,22400,12900,248400,17600,355900,11800,23800,30400,695700,430400,77900,575300,177700
chen_zexing,45700,58500,70100,138200,7600,432600,34300,346100,253000,167600,212600,155400,158000,0,13500,1700,111900,427600,5400,3000,9900,144700,5700,55500,26500,1000,275800,20100,342800,9000,33200,14900,734900,478200,66700,637600,165200
dtc03012,45500,46300,25500,116100,9800,438000,36900,321500,252100,155100,225000,165800,145200,1600,18900,0,150000,462100,5900,5200,19200,131000,3100,59500,21100,0,258400,5900,334500,12300,27500,15600,698800,416300,64500,640000,156300
DeadFox,90400,23400,4000,56700,4500,349900,26800,371300,192200,131600,195300,171600,80500,16100,0,1200,78800,823500,6000,0,9100,164200,5700,54700,9100,82200,245900,22700,249300,57700,35200,63500,484700,218200,51600,512700,94800
Mucosolvan,48400,49600,67600,151600,17000,626800,63300,486800,348900,230900,300100,311100,159700,3600,4300,2000,203200,766500,10200,7000,10200,191300,3800,95000,26300,28000,369000,47900,495300,21900,46300,15100,897700,554600,77900,774000,173600
KhaledFarhat,39900,90700,28300,144200,34600,646500,55600,430400,406200,187500,268700,279300,141600,3000,0,1200,244200,778600,3400,0,13800,201400,6200,81100,18100,4200,426200,51100,670800,7600,35900,13000,965400,424500,104200,734000,231900
nothing01,0,1600,1800,3800,0,15800,0,16400,6000,6900,6900,1700,11100,0,0,0,1700,18900,1900,0,0,2500,0,0,2900,0,9900,5100,5400,3100,0,0,24100,14500,1700,33700,9600
NinjaDragon,86300,164600,45100,193200,42000,670000,88000,326800,288700,238300,350000,357800,166600,0,45000,2000,299600,358400,19100,14600,45100,170200,7900,93900,32400,5900,237400,80500,669700,12500,33800,18200,553500,384600,130800,682400,150800
kanra824,38600,30300,14400,41800,3300,228600,18600,205400,133700,98100,129100,96000,63000,1800,2300,0,76100,359600,3800,1000,9200,87300,0,39200,11100,3900,182000,8200,162300,10800,28200,9600,500700,249000,43100,405900,73300
Emaneru,56700,85900,13300,97900,16400,332100,34200,247300,322600,231300,164600,136700,97900,0,9600,0,95800,385700,1900,1000,25800,105800,19300,44800,17600,51500,187400,26000,289700,14800,28400,20600,597400,279300,40200,546800,106000
_Enigma__,77700,71400,69800,117300,25500,474900,42500,366300,250900,208200,247000,207000,206100,0,93900,0,130100,511200,18500,7800,12500,150900,12000,67900,16800,16800,268200,61700,354200,15800,38400,24300,746300,454600,69000,805300,182000
Fysty,41900,40500,62400,144800,15500,468200,35600,445200,264400,206300,226900,196400,152100,3200,15100,0,121600,604400,6100,3600,10100,167300,12100,55100,17400,17900,308000,34400,306900,16100,61200,10500,903900,556000,67200,836900,168000
lclpsoz,46400,48200,31400,107000,4000,400100,16100,364000,205200,164600,191200,193100,72700,3200,6700,0,104400,658300,1900,2200,18400,137000,8000,42900,17100,1900,304600,14000,246800,11200,18400,13300,627500,256000,80900,553700,134900
Starman_,27500,38000,36400,91700,11000,331600,30200,262600,200800,152500,154300,132600,84600,0,3900,0,86000,442900,7800,7300,3300,134600,5100,49400,15700,3700,215200,9500,265300,11900,20400,11800,599800,350300,55700,504200,129000
arvindf232,16600,14100,22200,54200,0,237300,10200,125600,62500,55700,86500,72300,62000,0,2000,0,43400,114600,3900,2000,4000,34700,0,15100,0,19300,88400,8100,125400,8300,15600,10500,236900,168300,23900,199700,23900
king_of_tt,1500,2300,1600,4800,0,26400,2400,16600,18200,13400,10300,2300,7300,0,0,0,2300,15800,3800,0,0,4300,0,3700,1500,1000,23900,0,20900,0,0,2200,29700,20900,2300,28200,11700
igba,54800,71500,29300,136000,14800,599100,47200,358800,270800,187400,314100,318400,156900,4600,4200,1200,248700,575300,13200,0,17700,151400,5700,68200,16100,0,305000,13600,543500,13000,31300,19900,655300,349300,111400,586300,157800
Jevrii,52600,29800,20600,81700,22600,370500,35800,401700,204900,166600,174800,161500,109300,4900,0,2000,88400,923600,1900,0,11900,214900,2200,51000,13000,28800,263400,19000,302300,4100,30200,3600,608000,323400,56000,610800,147900
t4c0,7300,22000,8000,46400,0,141700,7400,117200,75000,28900,78500,66400,34100,0,2700,0,43900,112900,5700,0,1700,43300,1500,15900,2900,4000,79400,2700,109300,11700,4700,7500,240100,135600,35000,183600,50400
chenhongta0,17200,8700,21800,65500,3300,271100,11100,174600,104600,86100,123200,98100,82500,1600,2300,0,60600,274500,1900,1000,6400,87600,5300,33700,7800,900,150900,11800,176200,4400,25000,8100,434600,218400,28000,330600,86800
WSJYQ,30500,52600,30500,129000,29200,418200,45500,295500,252000,152200,187100,169300,137900,1600,6200,0,109400,434900,5400,3000,8000,141400,12500,53600,13800,2000,265600,14300,346800,5700,27000,13900,728100,388100,63100,616900,172300
Hrithik.Narang,14400,26900,22800,49200,2400,191000,12600,132000,100300,61700,85700,73900,45500,0,4600,0,53800,168700,6200,2000,4200,42600,0,29400,10800,0,113400,5600,166900,6100,27000,10000,312600,202600,26400,241700,71700
vrobert,56900,38700,19000,74600,5200,365700,20900,337700,193900,182300,171600,135700,115800,1400,2400,0,98400,514100,7900,3200,9800,118000,2100,47800,15800,15700,243800,29300,240800,7000,35400,11900,610200,356100,45400,567200,98800
ljcleo,3500,10200,3600,16500,0,40000,3600,25600,19500,8700,28100,14200,16900,0,0,0,5400,23900,1900,0,0,11400,0,7200,0,0,26100,2600,33900,2200,0,1600,55200,39900,10800,41200,15800
malvika.shalvika,1200,1200,1600,900,0,18700,1200,26200,8900,18100,7200,2700,5300,0,0,0,0,15700,1900,0,3000,3000,0,2300,0,0,12300,0,8700,0,0,0,18200,12400,0,39000,3800
Allz,8600,3200,15700,32900,1600,75000,10800,70900,36900,47600,24100,14000,21600,0,0,0,3600,70700,1900,0,1600,19600,0,9600,4400,1400,50800,1900,28500,1800,6000,3400,135400,79700,5100,140300,28000
TheSawan,46100,56800,54600,169700,30800,617700,75700,395200,321100,196800,294500,242300,175800,1600,12700,0,170300,624800,11500,2800,20400,203600,16800,97200,25000,18700,371200,27100,525900,30700,25200,45000,870400,476400,99400,710900,193800
l_returns,20600,11100,10600,30400,3300,92000,15800,115900,69400,54300,57900,41600,20600,1500,0,0,31500,212000,1900,0,0,54300,2900,12300,1100,1700,93200,4600,80500,1900,8600,800,243700,129000,16200,217800,42800
Parliament,7300,12900,12800,28800,2400,97600,6100,72400,47200,33100,51500,29000,30400,0,2000,0,19200,71200,6700,2000,2500,14300,0,20200,2100,0,66800,6200,55700,7100,7500,2000,141100,109200,14600,119900,40300
aryanc403,95200,186300,86900,257300,33300,773400,120300,534100,326500,299700,436600,398800,273000,3000,41900,2000,342200,670400,13500,3600,54300,202000,43400,120400,29600,12400,333300,136600,713100,43600,29700,54900,806300,548600,151700,848700,197800
KharYusuf,17600,32500,24900,68000,5000,229700,20600,180600,157200,124800,155300,142500,54400,1600,1900,0,94000,388500,4200,1000,4500,93300,1400,31600,9600,4900,218200,8400,238300,5200,21800,3700,458100,252700,31700,380000,99100
udon1206,16300,17300,22700,72400,0,221400,20300,172700,108900,85600,101600,87900,80400,5400,0,1200,64100,185700,1900,2200,4000,63000,4200,23900,3500,0,105000,6600,178100,5000,8800,7900,247100,171500,28900,260600,56500
dbldbqc,0,1900,1800,12000,0,25900,0,51200,20700,22400,9900,16500,10200,0,0,0,4900,72300,4900,0,0,23500,0,0,1500,1200,29000,0,22900,0,3800,1800,95500,44100,3400,99100,18200
kim_young_hyun,14800,5100,4700,31100,0,77000,1200,92100,53000,29000,18600,34700,30300,0,0,0,17100,123100,3400,0,1700,33000,0,3000,4500,0,63700,2300,42000,6900,9900,3700,180000,92400,8200,166100,28900
little_brush,4200,21300,17700,51400,7200,158400,21100,104900,54000,52700,90900,61000,49600,0,2700,0,57100,82100,1900,6600,7700,32000,0,20300,1700,1000,56100,30600,152800,2200,1900,7700,135400,114300,26800,160400,29500
pjych1,9100,5500,12600,33600,2100,89300,7600,57300,36500,30300,33800,14800,35400,0,4500,1700,14700,105300,3900,2000,2100,38000,0,7200,3400,0,72800,2300,48000,800,9600,2800,174600,149600,5000,208900,30900
AK.,68500,111700,59400,190000,23900,1110400,77700,668700,529800,392000,549400,507600,249500,6500,18700,5700,363900,1134400,13600,5200,14400,344400,20000,163700,38200,19300,570200,56300,891100,19700,68700,37100,1440200,748800,183300,1199900,289500
underperformer,26000,27000,12400,72100,11500,293700,28000,201300,127800,106200,130200,90800,70700,0,4800,1700,59000,318500,3400,1000,9800,84300,1400,39000,11800,7600,187700,5800,185800,9000,18000,14900,450800,248000,26900,424500,97500
Alpha_Q,102800,72100,48800,104700,18000,364600,46500,252700,189500,164100,167800,159200,157700,2800,25500,0,163900,464700,3900,1800,23300,126600,6700,41700,4100,11500,199100,58400,337000,16300,32300,17300,470700,353500,63100,554800,88400
nasubi24,3300,1800,0,3500,0,23300,1300,22900,7300,14300,4400,3500,3000,0,0,0,1800,12500,1900,0,0,10200,0,0,0,0,11000,0,9800,0,0,0,21200,12700,1700,29500,8000
Graphter,145100,70000,86300,204400,17400,730400,101200,532100,376500,294500,497700,316400,171400,3200,14500,2000,233200,739300,12500,4800,14100,234100,33100,204400,18700,1600,413800,31800,547800,29200,76200,41900,1019200,547800,136800,909200,194500
MAOoo,39600,60900,83200,139500,3300,389600,35100,203700,179400,160500,210100,196900,128100,1600,15000,0,156400,320800,11500,2200,27600,57900,17900,55000,9100,0,166200,43100,334000,12700,57500,6300,429900,327900,77900,432900,75100
1-gon,244300,144100,113300,272800,27700,925200,78500,706600,450700,350700,545700,456400,291700,5600,51100,0,328600,1167400,15100,5700,53200,293800,12600,140700,44100,38000,545400,109000,784800,43200,84500,42800,1359700,859700,170800,1303900,277200
iLLusio,74100,67700,59800,158900,13200,547300,62200,422000,288300,219500,282400,251000,172400,1300,4400,3700,191800,574000,13600,7000,16000,194200,2900,75700,24900,7000,348000,54000,417000,14400,50700,13300,882100,532200,93200,807900,187400
smax,77500,100900,76700,209400,47100,907400,82700,494900,415000,232600,379800,338700,221600,2200,27400,3700,273800,757900,10300,10500,36700,261000,7900,121700,31900,72000,432000,74300,776500,30300,44700,56600,1092000,619000,134200,881100,260200
eSeF_,5200,4400,3500,17200,0,70700,4000,80900,49400,34300,38100,25300,20100,0,2500,0,9100,72600,1900,0,0,16700,0,10300,4300,9000,56600,3900,43600,4000,8200,3000,150000,77300,13400,144100,25900
dixitgarg,28800,59400,26000,130700,22500,513200,48900,330800,250900,186600,273300,242300,142200,1300,13400,1700,184600,584900,12000,3300,13900,192300,4400,80100,14500,5700,310600,22600,399900,13400,31100,27900,715300,356700,86000,643500,175800
Bedo_Sayed,139900,95700,102400,290700,55300,1113800,132000,911300,672500,406000,537800,496300,312400,9300,37500,2900,310800,1411100,15600,15600,33000,432500,17300,153400,27200,28600,640900,92100,900000,39000,92900,52900,1589400,800100,184000,1402000,366300
iShibly,150400,71100,99200,267600,39400,1147200,140500,1104300,721200,482100,589000,556500,286600,19700,6500,10600,349500,2103200,11800,10500,39300,483300,21400,184800,56700,61900,752800,55400,909900,29500,109200,31300,1932100,1060300,216700,1728100,387000
fedimser,49600,32000,47600,99900,9500,297700,29600,280700,179200,147700,166000,109000,96100,0,13100,2500,83100,451500,3900,8700,16100,89500,6300,55800,10300,65700,192600,40200,207300,9100,26900,11500,523100,345900,38600,504500,86100
godxpunk,22600,19500,13000,58500,0,214700,6900,219200,135300,91700,77100,59500,55800,1600,1900,0,32000,372900,3400,1000,0,100500,1400,15600,17100,17600,165400,6100,137700,2900,28700,4900,521700,292300,21500,456300,89700
tyakennikku,36900,45700,16700,51100,2000,206100,10600,136400,107700,84900,73100,78700,67900,0,7300,0,88100,155500,7300,0,8900,54100,0,14700,11000,1500,107300,16700,177900,6600,17900,1800,251600,134800,31100,228000,62100
Nanako,46100,59000,59900,153200,32200,486100,40900,416400,258000,210900,234100,214100,189300,2100,20100,0,133300,532400,10200,3600,12200,155800,19100,59600,24400,0,253600,38700,370000,20900,31800,24000,730500,444300,82900,715900,165800
blackflag777,5200,0,4300,17600,0,47800,5700,76800,20400,17800,30900,34700,7900,1100,0,0,21300,197800,1900,0,0,38400,0,9600,1700,5800,44900,0,32800,0,5600,0,112800,56600,13900,78500,11500
kumaraditya1999,83300,102200,38900,177400,34300,754800,57700,527200,389200,198800,487000,438800,164500,2500,13500,4500,327800,778400,17700,5000,21800,221100,8700,153200,32000,44400,440000,20200,664600,21600,43200,32800,1014000,530300,157900,765700,213600
suzuken_w,44900,57700,32700,132500,8700,587000,43900,449800,336800,205200,245800,216000,141400,1600,4200,0,156300,676700,9200,6400,18200,215600,9000,82400,27400,0,370700,16700,435400,9900,40900,14900,1016100,500800,58300,795800,208000
almazov.03,44900,13800,18000,63500,3900,270600,20700,336000,170100,148400,123800,103500,60600,3700,2000,0,61000,469000,9200,3000,5400,128200,5000,31000,9900,18400,200400,5100,197700,6300,23200,8200,636900,339400,27500,595400,109100
dafuknigg,5000,2800,5200,30300,0,92300,5700,86500,62800,45400,32500,18300,15000,0,0,0,9700,75800,1900,0,0,22500,0,8900,3800,0,53600,3400,88500,0,1600,0,151300,93600,3400,135800,31100
Kira_1234,51000,36100,65500,131600,14000,414700,34500,413700,289800,203700,204400,146800,153300,3200,6800,1700,100700,560700,5400,8800,12000,149000,13700,44800,29700,6200,303100,20300,330200,13100,43600,13300,831800,545600,60800,791000,186100
ttee,9000,7600,8500,29800,11700,102300,13600,76100,67800,53500,36300,51300,34100,0,5500,0,41600,98100,1900,1000,5900,46200,3800,10500,7800,6700,48200,4600,108400,800,5600,800,151000,91400,27200,176600,39500
Temmie,32700,42800,59100,101700,10400,310000,26300,279200,191600,115800,258000,200200,148900,0,11200,0,206300,410500,5400,2000,4800,117500,6800,102100,11700,16200,227100,44100,260800,4100,24000,7800,548700,396200,49900,511400,160800
issues-ak-ioi,8300,18200,28600,64100,46800,253700,34000,180900,99600,83700,64700,59100,88300,0,0,0,63400,149100,1900,0,5400,88800,2100,16200,9100,0,139500,36500,196900,8200,24200,36100,269600,164400,32600,284600,81200
ICPC-Gold,2700,8300,4300,17000,4200,56100,1400,26500,31200,9000,15300,16400,19400,0,2000,0,22800,38500,3900,2000,0,14200,0,3400,0,0,26500,2300,42800,0,1700,2000,62900,39100,5800,51500,16400
sarthak_sethi,10400,5900,10700,22400,0,134300,4700,149100,87400,62900,48600,42700,29700,0,2000,1700,30700,230600,5400,2000,5100,60100,1500,12300,7300,1700,121600,4600,88800,4500,25100,6400,312500,186800,14000,326100,52400
SuperJ6,147800,186200,181700,350400,57900,1299400,107400,644100,526200,357100,632400,529300,395700,1600,64800,0,514100,801000,38500,12600,43300,243100,22300,146000,42500,66700,505600,130400,992500,60800,97800,56000,1363600,912800,161700,1167200,335600
uhiaoku,39600,43400,51900,91100,8900,267500,32000,247600,180600,114500,165600,166600,68800,0,9800,2000,119700,415600,4200,1000,7000,97400,2900,41300,19500,12800,186700,29900,261600,14000,27300,18300,497500,321900,52900,451800,86800
Skybytskyi.Nikita,48200,40600,64300,115700,6500,373500,44700,446400,219900,203000,186000,148900,122300,9600,14900,0,88800,873600,43300,2000,10000,199700,23100,51700,19200,42000,294100,21800,224600,77100,40200,49200,666600,399800,63000,735800,108300
Nabil,11700,1400,1400,13200,1500,109800,9400,130100,63000,40400,42500,52600,30900,1600,0,0,13200,289800,1900,0,0,55900,1400,6500,5400,3000,128300,0,69000,800,9300,0,256800,84500,23500,213300,48600
bgornik,20100,26300,23700,68800,0,239000,14900,211000,133100,112100,109900,96100,90400,0,2500,1700,72200,217500,4200,1000,3300,62300,1400,35400,13700,7300,141100,22200,170200,2900,18100,5000,412100,227500,35300,404300,99600
nandonathaniel,62000,75000,49200,149600,5700,563400,46500,397600,300500,233400,234800,226600,162000,0,3900,0,198900,587100,9800,4200,13800,146700,9500,51500,21100,18100,320700,23700,455200,17000,29400,21200,735800,421700,80500,779100,162000
olimpo,23800,77000,35100,85600,7900,430100,35500,303700,250400,157900,148100,142300,126000,4800,6500,900,124900,404500,7900,13000,7300,107400,1800,43600,24400,8700,224300,41300,341200,11700,53600,15400,655700,372900,51700,522000,131200
MateoCV,77200,59200,111000,176700,28200,484800,53300,450300,308300,247400,269900,242800,151400,1600,13500,0,141800,646200,11800,7000,14200,180700,8200,68900,28600,12900,358800,49300,367300,20300,45300,20100,937600,619000,86600,861000,171500
nor,108100,243300,31100,296500,9100,686600,52700,627300,340800,276100,367300,406000,233600,3400,26000,2000,208400,767200,4200,2800,15700,188000,9400,50400,11600,70100,270800,74700,775500,10700,24700,15500,674100,424900,141200,774900,153300
